PROFID,fdnustdlit,dnu_model,dnu_inf,nu_max,mass,radius,luminosity,mixing_length,metalicity
profile78,0.9210065584850055,0.09587436678384675,0.08830092059851982,0.23277931172534516,1.9884098706980504e+33,132.65966753370463,6.35955948534118e+36,1.7,0.0    d0
profile79,0.9202643059685699,0.09465560955670312,0.08710817883473132,0.228774582608991,1.9884098706980504e+33,133.867895532215,6.435680221188681e+36,1.7,0.0    d0
profile54,0.938212530367303,0.13564699735842212,0.12726571262837208,0.3713171581739437,1.9884098706980504e+33,103.97001733271688,4.5988893719646467e+36,1.7,0.0    d0
profile22,0.994543686373872,152.58650290982274,151.75394309483266,3562.7601207419525,1.9884098706980504e+33,0.9246039318259296,3.3086724337270275e+33,1.7,0.0    d0
profile10,1.0359080654110884,0.3527299661611648,0.3653958168585309,1.4388193979507666,1.9884098706980504e+33,51.46832224299828,1.7049682723056704e+36,1.7,0.0    d0
profile174,0.9858162878345235,92.05948198663593,90.75373679203462,1782.2078377519022,1.9884098706980504e+33,1.3025849259875335,6.956251396708434e+33,1.7,0.0    d0
profile201,0.9787715550214323,67.03878635033664,65.61565716286856,1182.6817174718515,1.9884098706980504e+33,1.617002669843959,8.962586322225882e+33,1.7,0.0    d0
profile228,1.0365641347179282,4.604751057290679,4.7731197952919775,40.34603374168485,1.9884098706980504e+33,9.279277641063786,1.1633799829118478e+35,1.7,0.0    d0
profile106,0.9915468007139926,125.76183371819849,124.69874387520483,2713.748134333965,1.9884098706980504e+33,1.0539200653167327,4.6715716083003954e+33,1.7,0.0    d0
profile237,1.0403574986232424,2.0350146410163075,2.1171427415894013,14.000840383747017,1.9884098706980504e+33,15.954466957259752,2.8037656807821973e+35,1.7,0.0    d0
profile74,0.9241276063706568,0.10111353755481187,0.0934418114321978,0.2502119646487995,1.9884098706980504e+33,127.74823039430007,6.051926593423748e+36,1.7,0.0    d0
profile206,0.9789764217162364,59.29686133615856,58.05022912987636,1023.5523376161367,1.9884098706980504e+33,1.7546066323683018,9.076733130589492e+33,1.7,0.0    d0
profile30,0.958702354011727,0.217212958039987,0.208242574194786,0.6978856341797182,1.9884098706980504e+33,74.87486339493054,2.926496873053784e+36,1.7,0.0    d0
profile167,0.9870317979293919,96.7567754549128,95.50201403911304,1904.9011440629852,1.9884098706980504e+33,1.2590434127612142,6.573207199256323e+33,1.7,0.0    d0
