ID,dnu_syd,dnu_inf,nu_max,mass,radius,luminosity,mixing_length,metalicity
39,0.135281701628111,0.1686386618684736,0.5324342773396182,1.9884098706980504e+33,86.18088717072602,3.559960938214214e+36,1.7,0.0    d0
125,117.82240437093012,116.97713999876322,2489.9910458998083,1.9884098706980504e+33,1.0998034039376623,5.120750542157025e+33,1.7,0.0    d0
92,0.0557042300821633,0.0754659284705282,0.1905244979563954,1.9884098706980504e+33,147.3041941037708,7.28968151421515e+36,1.7,0.0    d0
45,0.1233450808962188,0.1511048586484945,0.4625784584112035,1.9884098706980504e+33,92.7249852419432,3.936304436205821e+36,1.7,0.0    d0
144,109.00522052363912,108.52996007256336,2254.778526909807,1.9884098706980504e+33,1.1561547381418442,5.626937962628334e+33,1.7,0.0    d0
226,5.602253996834716,6.147187094850858,56.120707052135245,1.9884098706980504e+33,7.839074127206822,8.803084426383713e+34,1.7,0.0    d0
69,0.0795774715459476,0.1003860675552056,0.2741949295384707,1.9884098706980504e+33,121.78676585793458,5.681329966650799e+36,1.7,0.0    d0
251,0.6485563930994735,0.7728569196481281,3.788450485975492,1.9884098706980504e+33,31.23558607567561,8.026728708619275e+35,1.7,0.0    d0
29,0.1671126902464901,0.2126482013118177,0.7169094929783241,1.9884098706980504e+33,73.83709183243664,2.86924691155463e+36,1.7,0.0    d0
44,0.1233450808962188,0.1547823579963174,0.4770421893885962,1.9884098706980504e+33,91.25039501289083,3.851109571183605e+36,1.7,0.0    d0
76,0.0676408508140555,0.0908107937268241,0.2412550942962746,1.9884098706980504e+33,130.20392545236498,6.205513236897052e+36,1.7,0.0    d0
78,0.0676408508140555,0.0883009205985198,0.2327793117253451,1.9884098706980504e+33,132.65966753370463,6.35955948534118e+36,1.7,0.0    d0
71,0.0755985979686502,0.0973977552012157,0.2638154816622913,1.9884098706980504e+33,124.26526791973436,5.83482539986878e+36,1.7,0.0    d0
89,132.24582108863314,131.02266623970473,2903.137484393233,1.9884098706980504e+33,1.019728999825492,4.321147844298241e+33,1.7,0.0    d0
190,78.6145841402417,77.7212971724594,1460.0448202824998,1.9884098706980504e+33,1.444405162253749,8.067719415214569e+33,1.7,0.0    d0
94,0.0557042300821633,0.0736340208655026,0.184650122488903,1.9884098706980504e+33,149.73731729340125,7.445763934499636e+36,1.7,0.0    d0
